variant,task,auc_cidx,auc_full,delta_auc
full,wake_vs_deep_sleep,1.0,1.0,0.0
full,wake_vs_reflex,1.0,1.0,0.0
full,wake_vs_anxiety,1.0,1.0,0.0
full,wake_vs_nonwake,1.0,1.0,0.0
full,integrated_vs_low,1.0,1.0,0.0
no_body,wake_vs_deep_sleep,1.0,1.0,0.0
no_body,wake_vs_reflex,1.0,1.0,0.0
no_body,wake_vs_anxiety,1.0,1.0,0.0
no_body,wake_vs_nonwake,1.0,1.0,0.0
no_body,integrated_vs_low,1.0,1.0,0.0
no_memory,wake_vs_deep_sleep,1.0,1.0,0.0
no_memory,wake_vs_reflex,1.0,1.0,0.0
no_memory,wake_vs_anxiety,1.0,1.0,0.0
no_memory,wake_vs_nonwake,1.0,1.0,0.0
no_memory,integrated_vs_low,1.0,1.0,0.0
no_recursion,wake_vs_deep_sleep,1.0,1.0,0.0
no_recursion,wake_vs_reflex,1.0,1.0,0.0
no_recursion,wake_vs_anxiety,1.0,1.0,0.0
no_recursion,wake_vs_nonwake,1.0,1.0,0.0
no_recursion,integrated_vs_low,1.0,1.0,0.0
neural_only,wake_vs_deep_sleep,1.0,1.0,0.0
neural_only,wake_vs_reflex,1.0,1.0,0.0
neural_only,wake_vs_anxiety,1.0,1.0,0.0
neural_only,wake_vs_nonwake,1.0,1.0,0.0
neural_only,integrated_vs_low,1.0,1.0,0.0
