task,feature,auc
wake_vs_deep_sleep,C_idx_mean,1.0
wake_vs_deep_sleep,B_mean,0.62
wake_vs_deep_sleep,Psi_eff_mean,1.0
wake_vs_deep_sleep,Q_mean,1.0
wake_vs_deep_sleep,K_mean,1.0
wake_vs_deep_sleep,R_mean,0.8099999999999999
wake_vs_reflex,C_idx_mean,1.0
wake_vs_reflex,B_mean,0.8899999999999999
wake_vs_reflex,Psi_eff_mean,1.0
wake_vs_reflex,Q_mean,1.0
wake_vs_reflex,K_mean,0.51
wake_vs_reflex,R_mean,0.77
wake_vs_anxiety,C_idx_mean,1.0
wake_vs_anxiety,B_mean,0.66
wake_vs_anxiety,Psi_eff_mean,1.0
wake_vs_anxiety,Q_mean,1.0
wake_vs_anxiety,K_mean,0.16
wake_vs_anxiety,R_mean,0.99
wake_vs_nonwake,C_idx_mean,1.0
wake_vs_nonwake,B_mean,0.7233333333333334
wake_vs_nonwake,Psi_eff_mean,1.0
wake_vs_nonwake,Q_mean,1.0
wake_vs_nonwake,K_mean,0.5566666666666666
wake_vs_nonwake,R_mean,0.8566666666666666
integrated_vs_low,C_idx_mean,1.0
integrated_vs_low,B_mean,0.69
integrated_vs_low,Psi_eff_mean,1.0
integrated_vs_low,Q_mean,1.0
integrated_vs_low,K_mean,0.8225
integrated_vs_low,R_mean,0.5625
