task,feature,auc
wake_vs_deep_sleep,C_idx_mean,1.0
wake_vs_deep_sleep,B_mean,0.6075
wake_vs_deep_sleep,Psi_eff_mean,1.0
wake_vs_deep_sleep,Q_mean,1.0
wake_vs_deep_sleep,K_mean,0.96
wake_vs_deep_sleep,R_mean,0.540625
wake_vs_reflex,C_idx_mean,1.0
wake_vs_reflex,B_mean,0.68875
wake_vs_reflex,Psi_eff_mean,1.0
wake_vs_reflex,Q_mean,1.0
wake_vs_reflex,K_mean,0.51125
wake_vs_reflex,R_mean,0.244375
wake_vs_anxiety,C_idx_mean,0.994375
wake_vs_anxiety,B_mean,0.555625
wake_vs_anxiety,Psi_eff_mean,1.0
wake_vs_anxiety,Q_mean,1.0
wake_vs_anxiety,K_mean,0.39375
wake_vs_anxiety,R_mean,0.5875
wake_vs_nonwake,C_idx_mean,0.998125
wake_vs_nonwake,B_mean,0.6172916666666667
wake_vs_nonwake,Psi_eff_mean,1.0
wake_vs_nonwake,Q_mean,1.0
wake_vs_nonwake,K_mean,0.6216666666666666
wake_vs_nonwake,R_mean,0.4575
integrated_vs_low,C_idx_mean,1.0
integrated_vs_low,B_mean,0.6371875
integrated_vs_low,Psi_eff_mean,0.9840625000000001
integrated_vs_low,Q_mean,1.0
integrated_vs_low,K_mean,0.76359375
integrated_vs_low,R_mean,0.35875
