task,feature,threshold,sensitivity,specificity,youden_j,auc
wake_vs_deep_sleep,C_idx_mean,0.5536688857792772,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,B_mean,0.8230689978184532,0.875,0.5,0.375,0.6075
wake_vs_deep_sleep,Psi_eff_mean,0.3340817865981946,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,Q_mean,0.8896248933503698,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,K_mean,0.019264406689458675,0.925,0.925,0.8500000000000001,0.96
wake_vs_deep_sleep,R_mean,0.7909115743728689,0.65,0.5,0.15000000000000002,0.540625
wake_vs_reflex,C_idx_mean,0.5536688857792772,1.0,1.0,1.0,1.0
wake_vs_reflex,B_mean,0.8230689978184532,0.875,0.44999999999999996,0.32499999999999996,0.68875
wake_vs_reflex,Psi_eff_mean,0.3340817865981946,1.0,1.0,1.0,1.0
wake_vs_reflex,Q_mean,0.8896248933503698,1.0,1.0,1.0,1.0
wake_vs_reflex,K_mean,0.052681811654357556,0.225,0.875,0.1,0.51125
wake_vs_reflex,R_mean,inf,0.0,1.0,0.0,0.244375
wake_vs_anxiety,C_idx_mean,0.5877451602614081,0.975,1.0,0.975,0.994375
wake_vs_anxiety,B_mean,0.8541106563907992,0.5,0.65,0.15000000000000002,0.555625
wake_vs_anxiety,Psi_eff_mean,0.3340817865981946,1.0,1.0,1.0,1.0
wake_vs_anxiety,Q_mean,0.8896248933503698,1.0,1.0,1.0,1.0
wake_vs_anxiety,K_mean,0.013461421618855903,1.0,0.050000000000000044,0.050000000000000044,0.39375
wake_vs_anxiety,R_mean,0.7978672561303517,0.575,0.7,0.27499999999999997,0.5875
wake_vs_nonwake,C_idx_mean,0.5877451602614081,0.975,1.0,0.975,0.998125
wake_vs_nonwake,B_mean,0.8230689978184532,0.875,0.4083333333333333,0.2833333333333333,0.6172916666666667
wake_vs_nonwake,Psi_eff_mean,0.3340817865981946,1.0,1.0,1.0,1.0
wake_vs_nonwake,Q_mean,0.8896248933503698,1.0,1.0,1.0,1.0
wake_vs_nonwake,K_mean,0.013461421618855903,1.0,0.32499999999999996,0.32499999999999996,0.6216666666666666
wake_vs_nonwake,R_mean,0.7909115743728689,0.65,0.4083333333333333,0.05833333333333335,0.4575
integrated_vs_low,C_idx_mean,0.4799200993942342,1.0,1.0,1.0,1.0
integrated_vs_low,B_mean,0.8189360686329189,0.8375,0.475,0.3125,0.6371875
integrated_vs_low,Psi_eff_mean,0.24023834250946213,0.9,1.0,0.9,0.9840625000000001
integrated_vs_low,Q_mean,0.8592374779282964,1.0,1.0,1.0,1.0
integrated_vs_low,K_mean,0.018477445395577576,0.9375,0.5375,0.475,0.76359375
integrated_vs_low,R_mean,0.7191291347917556,1.0,0.012499999999999956,0.012499999999999956,0.35875
