scenario,run_id,C_base_mean,S_mean,C_hum_mean,M_r_mean,P_u_mean,R_a_mean
privado,0,0.604569205990821,0.0,0.604569205990821,0.0,0.0,0.0
privado,1,0.6073443191281389,0.0,0.6073443191281389,0.0,0.0,0.0
privado,2,0.6188632517079563,0.0,0.6188632517079563,0.0,0.0,0.0
privado,3,0.608394559367066,0.0,0.608394559367066,0.0,0.0,0.0
privado,4,0.605783961266214,0.0,0.605783961266214,0.0,0.0,0.0
privado,5,0.6179615823912827,0.0,0.6179615823912827,0.0,0.0,0.0
privado,6,0.6110688802680774,0.0,0.6110688802680774,0.0,0.0,0.0
privado,7,0.6141434029013308,0.0,0.6141434029013308,0.0,0.0,0.0
privado,8,0.6049551864704082,0.0,0.6049551864704082,0.0,0.0,0.0
privado,9,0.6179028714785386,0.0,0.6179028714785386,0.0,0.0,0.0
privado,10,0.606905939686554,0.0,0.606905939686554,0.0,0.0,0.0
privado,11,0.6138037863717593,0.0,0.6138037863717593,0.0,0.0,0.0
privado,12,0.6195055767489385,0.0,0.6195055767489385,0.0,0.0,0.0
privado,13,0.6062580243301329,0.0,0.6062580243301329,0.0,0.0,0.0
privado,14,0.6111286686037275,0.0,0.6111286686037275,0.0,0.0,0.0
compartilhado,0,0.6126547786991949,0.2593055555555555,0.6774811675880837,0.0,0.7779166666666667,0.0
compartilhado,1,0.6079285953031134,0.26305555555555554,0.6736924841920023,0.0,0.7891666666666667,0.0
compartilhado,2,0.6069535739631776,0.25388888888888883,0.6704257961853999,0.0,0.7616666666666667,0.0
compartilhado,3,0.614283990150238,0.25805555555555554,0.678797879039127,0.0,0.7741666666666667,0.0
compartilhado,4,0.613733683774337,0.25916666666666666,0.6785253504410038,0.0,0.7775,0.0
compartilhado,5,0.6128901963380251,0.25902777777777775,0.6776471407824696,0.0,0.7770833333333335,0.0
compartilhado,6,0.6153965504395432,0.25555555555555554,0.6792854393284322,0.0,0.7666666666666667,0.0
compartilhado,7,0.6082414622007394,0.26055555555555554,0.6733803510896282,0.0,0.7816666666666667,0.0
compartilhado,8,0.6046427965722952,0.2545833333333333,0.6682886299056285,0.0,0.76375,0.0
compartilhado,9,0.6118020845715749,0.25375,0.675239584571575,0.0,0.76125,0.0
compartilhado,10,0.6067465741795269,0.2558333333333333,0.6707049075128603,0.0,0.7675,0.0
compartilhado,11,0.6223525494523392,0.2594444444444444,0.6872136605634505,0.0,0.7783333333333333,0.0
compartilhado,12,0.6075780512723502,0.25708333333333333,0.6718488846056836,0.0,0.77125,0.0
compartilhado,13,0.6020981488346503,0.2548611111111111,0.665813426612428,0.0,0.7645833333333333,0.0
compartilhado,14,0.6106412202333678,0.2554166666666666,0.6744953869000345,0.0,0.76625,0.0
ratificado,0,0.6108475878324462,0.75875,0.8005350878324461,0.765,0.7766666666666667,0.7345833333333333
ratificado,1,0.602590440569182,0.7213888888888889,0.7829376627914044,0.72,0.75875,0.6854166666666666
ratificado,2,0.6084836144840688,0.6795833333333333,0.7783794478174022,0.66375,0.7270833333333334,0.6479166666666666
ratificado,3,0.6191125494625777,0.7358333333333333,0.8030708827959111,0.73,0.7604166666666667,0.7170833333333333
ratificado,4,0.6033958708083195,0.7448611111111112,0.789611148586097,0.73375,0.7795833333333334,0.72125
ratificado,5,0.6131516253368816,0.7441666666666665,0.7991932920035484,0.73375,0.7791666666666667,0.7195833333333332
ratificado,6,0.615709145032218,0.72,0.795709145032218,0.71375,0.755,0.69125
ratificado,7,0.5979153996187616,0.7647222222222223,0.7890959551743171,0.7625,0.7825,0.7491666666666668
ratificado,8,0.6047450890812427,0.6875,0.7766200890812427,0.67375,0.7441666666666668,0.6445833333333333
ratificado,9,0.6159838908611915,0.6779166666666667,0.7854630575278583,0.68,0.72,0.63375
ratificado,10,0.6161172909134536,0.7120833333333333,0.794138124246787,0.70625,0.7333333333333334,0.6966666666666668
ratificado,11,0.6102447870086393,0.6886111111111112,0.7823975647864171,0.6575,0.7745833333333333,0.63375
ratificado,12,0.6077308961087384,0.7215277777777778,0.7881128405531829,0.7075,0.765,0.6920833333333333
ratificado,13,0.6045510951321377,0.7408333333333332,0.789759428465471,0.7425,0.7716666666666667,0.7083333333333333
ratificado,14,0.6066677593695977,0.7225,0.7872927593695976,0.705,0.7608333333333333,0.7016666666666665
