trial,scenario,frac_arriscada,sucesso_coordenacao,payoff_medio,prob_media_arriscada,P_u_na_decisao,R_a_na_decisao,K_ck_na_decisao,M_medio_na_decisao
0,privado,0.125,False,0.875,0.0492825471616315,0.0,0.0,0.0,1.4536119049740301
1,privado,0.125,False,0.875,0.048875479206703404,0.0,0.0,0.0,1.4526682098369954
2,privado,0.125,False,0.875,0.04957280531507571,0.0,0.0,0.0,1.4542988206891696
3,privado,0.125,False,0.875,0.05012171088002933,0.0,0.0,0.0,1.4556565484324322
4,privado,0.0,False,1.0,0.04977679422575294,0.0,0.0,0.0,1.4547716023982116
5,privado,0.0,False,1.0,0.04806373822616024,0.0,0.0,0.0,1.4511802969410936
6,privado,0.125,False,0.875,0.04775377649028403,0.0,0.0,0.0,1.450485110701456
7,privado,0.125,False,0.875,0.049750421741221025,0.0,0.0,0.0,1.4547610576639198
8,privado,0.0,False,1.0,0.05057789819383935,0.0,0.0,0.0,1.4566182968608934
9,privado,0.0,False,1.0,0.04889939214492165,0.0,0.0,0.0,1.4529180586186077
10,privado,0.0,False,1.0,0.04799247375470567,0.0,0.0,0.0,1.4508605378287385
11,privado,0.25,False,0.75,0.048924120359385814,0.0,0.0,0.0,1.4531026357319075
12,privado,0.125,False,0.875,0.04780143449185924,0.0,0.0,0.0,1.450506730050972
13,privado,0.0,False,1.0,0.049167689976740106,0.0,0.0,0.0,1.453491706019841
14,privado,0.0,False,1.0,0.04868654631823151,0.0,0.0,0.0,1.452538248928556
15,privado,0.0,False,1.0,0.0509051359936675,0.0,0.0,0.0,1.457288692292152
16,privado,0.125,False,0.875,0.04878748953176529,0.0,0.0,0.0,1.4528316976604274
17,privado,0.25,False,0.75,0.049410173537045285,0.0,0.0,0.0,1.4541257734218107
18,privado,0.0,False,1.0,0.051036305908796195,0.0,0.0,0.0,1.457656897308034
19,privado,0.125,False,0.875,0.04967383978519867,0.0,0.0,0.0,1.4546898514608086
20,privado,0.0,False,1.0,0.04815518247640242,0.0,0.0,0.0,1.4514231832947435
21,privado,0.0,False,1.0,0.04927367819788925,0.0,0.0,0.0,1.4536672802456625
22,privado,0.25,False,0.75,0.04910844883727585,0.0,0.0,0.0,1.453420713821659
23,privado,0.0,False,1.0,0.05157763387926877,0.0,0.0,0.0,1.4587715406909008
24,privado,0.0,False,1.0,0.05161567114912453,0.0,0.0,0.0,1.4586646318498762
25,privado,0.0,False,1.0,0.04899188305240321,0.0,0.0,0.0,1.4531210636549825
26,privado,0.0,False,1.0,0.051759275749175535,0.0,0.0,0.0,1.459023318861743
27,privado,0.0,False,1.0,0.050289119834278743,0.0,0.0,0.0,1.455975692393539
28,privado,0.0,False,1.0,0.04899976273706448,0.0,0.0,0.0,1.4531606704114437
29,privado,0.125,False,0.875,0.048289038480541974,0.0,0.0,0.0,1.4517437526836472
30,privado,0.0,False,1.0,0.051298194281499995,0.0,0.0,0.0,1.4580951278444645
31,privado,0.125,False,0.875,0.049345212769513494,0.0,0.0,0.0,1.453931341427521
32,privado,0.0,False,1.0,0.04840171025860077,0.0,0.0,0.0,1.451844924909409
33,privado,0.0,False,1.0,0.049864675241220874,0.0,0.0,0.0,1.4550236578024183
34,privado,0.0,False,1.0,0.04832653603186492,0.0,0.0,0.0,1.451759624223579
35,privado,0.125,False,0.875,0.05066292989772778,0.0,0.0,0.0,1.456873582049158
36,privado,0.125,False,0.875,0.0512909349306853,0.0,0.0,0.0,1.4581739813552992
37,privado,0.0,False,1.0,0.05082871675231555,0.0,0.0,0.0,1.4568587778190953
38,privado,0.0,False,1.0,0.04987371743687933,0.0,0.0,0.0,1.4549888963066557
39,privado,0.0,False,1.0,0.04850812193751886,0.0,0.0,0.0,1.4521075975832574
40,privado,0.0,False,1.0,0.050335570575934144,0.0,0.0,0.0,1.4561351908266997
41,privado,0.0,False,1.0,0.04944694182908778,0.0,0.0,0.0,1.4541293750504711
42,privado,0.25,False,0.75,0.04920388193714675,0.0,0.0,0.0,1.4537464838256442
43,privado,0.0,False,1.0,0.0489765379177593,0.0,0.0,0.0,1.4531987773031074
44,privado,0.0,False,1.0,0.048415396612746464,0.0,0.0,0.0,1.4518599711716655
45,privado,0.0,False,1.0,0.04931775724330075,0.0,0.0,0.0,1.4534148369819158
