n_agents,coord_threshold_frac,scenario,taxa_sucesso_coordenacao
6,0.5,privado,0.0
6,0.5,compartilhado,0.0
6,0.5,ratificado,1.0
6,0.6,privado,0.0
6,0.6,compartilhado,0.0
6,0.6,ratificado,0.8
6,0.75,privado,0.0
6,0.75,compartilhado,0.0
6,0.75,ratificado,0.6666666666666666
8,0.5,privado,0.0
8,0.5,compartilhado,0.0
8,0.5,ratificado,1.0
8,0.6,privado,0.0
8,0.6,compartilhado,0.0
8,0.6,ratificado,1.0
8,0.75,privado,0.0
8,0.75,compartilhado,0.0
8,0.75,ratificado,0.6
12,0.5,privado,0.0
12,0.5,compartilhado,0.0
12,0.5,ratificado,1.0
12,0.6,privado,0.0
12,0.6,compartilhado,0.0
12,0.6,ratificado,0.8666666666666667
12,0.75,privado,0.0
12,0.75,compartilhado,0.0
12,0.75,ratificado,0.8
