t,scenario,C_base,S,C_hum,K_ck,M_r,P_u,R_a,M_medio_agentes
0.0,privado,0.07884385752911252,0.0,0.07884385752911252,0.0,0.0,0.0,0.0,0.08322568122471788
0.1,privado,0.07950872404693485,0.0,0.07950872404693485,0.0,0.0,0.0,0.0,0.08648626256590658
0.2,privado,0.08020769365641106,0.0,0.08020769365641106,0.0,0.0,0.0,0.0,0.0897593817447932
0.30000000000000004,privado,0.080927735018286,0.0,0.080927735018286,0.0,0.0,0.0,0.0,0.09307451499733949
0.4,privado,0.0816571611967311,0.0,0.0816571611967311,0.0,0.0,0.0,0.0,0.09641732733362353
0.5,privado,0.506904758840369,0.0,0.506904758840369,0.0,0.0,0.0,0.0,0.10185390441933409
0.6000000000000001,privado,0.48131818728836123,0.0,0.48131818728836123,0.0,0.0,0.0,0.0,0.1072087112857773
0.7000000000000001,privado,0.5016866284322652,0.0,0.5016866284322652,0.0,0.0,0.0,0.0,0.11294957047040872
0.8,privado,0.5136210647619406,0.0,0.5136210647619406,0.0,0.0,0.0,0.0,0.1188019654008465
0.9,privado,0.5238002574131773,0.0,0.5238002574131773,0.0,0.0,0.0,0.0,0.12475669618123687
1.0,privado,0.5283881604622075,0.0,0.5283881604622075,0.0,0.0,0.0,0.0,0.13073702822187178
1.1,privado,0.5310033375799927,0.0,0.5310033375799927,0.0,0.0,0.0,0.0,0.13672589361105042
1.2000000000000002,privado,0.5308250663789413,0.0,0.5308250663789413,0.0,0.0,0.0,0.0,0.14273318551825678
1.3,privado,0.5336028561911494,0.0,0.5336028561911494,0.0,0.0,0.0,0.0,0.14874728520127747
1.4000000000000001,privado,0.5339805813290458,0.0,0.5339805813290458,0.0,0.0,0.0,0.0,0.15475950157427773
1.5,privado,0.5309196668782171,0.0,0.5309196668782171,0.0,0.0,0.0,0.0,0.16074674481546491
1.6,privado,0.5260945855098974,0.0,0.5260945855098974,0.0,0.0,0.0,0.0,0.1666925513811403
1.7000000000000002,privado,0.5198821326956371,0.0,0.5198821326956371,0.0,0.0,0.0,0.0,0.17257824251746406
1.8,privado,0.5133417373884638,0.0,0.5133417373884638,0.0,0.0,0.0,0.0,0.17841232110026584
1.9000000000000001,privado,0.5055385906550068,0.0,0.5055385906550068,0.0,0.0,0.0,0.0,0.18415711947965385
2.0,privado,0.5107796049095685,0.0,0.5107796049095685,0.0,0.0,0.0,0.0,0.18984881758744912
2.1,privado,0.5095224307017573,0.0,0.5095224307017573,0.0,0.0,0.0,0.0,0.1955302100376754
2.2,privado,0.49177866558926375,0.0,0.49177866558926375,0.0,0.0,0.0,0.0,0.20103473303235103
2.3000000000000003,privado,0.5003067308858825,0.0,0.5003067308858825,0.0,0.0,0.0,0.0,0.20658744647669985
2.4000000000000004,privado,0.5014370825962009,0.0,0.5014370825962009,0.0,0.0,0.0,0.0,0.2121168737060034
2.5,privado,0.5188030781621364,0.0,0.5188030781621364,0.0,0.0,0.0,0.0,0.21767893457791776
2.6,privado,0.5156644829949506,0.0,0.5156644829949506,0.0,0.0,0.0,0.0,0.2231728405980942
2.7,privado,0.5199747515705022,0.0,0.5199747515705022,0.0,0.0,0.0,0.0,0.22867281291170516
2.8000000000000003,privado,0.5218134271811643,0.0,0.5218134271811643,0.0,0.0,0.0,0.0,0.23417617033792365
2.9000000000000004,privado,0.5273543764947242,0.0,0.5273543764947242,0.0,0.0,0.0,0.0,0.23977513627967123
3.0,privado,0.5286387208699362,0.0,0.5286387208699362,0.0,0.0,0.0,0.0,0.2454194353622522
3.1,privado,0.5211039966451141,0.0,0.5211039966451141,0.0,0.0,0.0,0.0,0.2510377454021456
3.2,privado,0.5155452844998858,0.0,0.5155452844998858,0.0,0.0,0.0,0.0,0.2566471771459736
3.3000000000000003,privado,0.5176599234672301,0.0,0.5176599234672301,0.0,0.0,0.0,0.0,0.26230549499132905
3.4000000000000004,privado,0.5277491766193597,0.0,0.5277491766193597,0.0,0.0,0.0,0.0,0.26803089842055644
3.5,privado,0.5297427577441459,0.0,0.5297427577441459,0.0,0.0,0.0,0.0,0.2737691524780347
3.6,privado,0.5206251786637275,0.0,0.5206251786637275,0.0,0.0,0.0,0.0,0.2794537858800783
3.7,privado,0.5113884243732403,0.0,0.5113884243732403,0.0,0.0,0.0,0.0,0.28508011738772476
3.8000000000000003,privado,0.5091925571006191,0.0,0.5091925571006191,0.0,0.0,0.0,0.0,0.29072187148782214
3.9000000000000004,privado,0.5129002801486402,0.0,0.5129002801486402,0.0,0.0,0.0,0.0,0.2963753881620757
4.0,privado,0.5043654204451138,0.0,0.5043654204451138,0.0,0.0,0.0,0.0,0.3019844321992392
4.1000000000000005,privado,0.5147102666852692,0.0,0.5147102666852692,0.0,0.0,0.0,0.0,0.3076521058838809
4.2,privado,0.5268606102740068,0.0,0.5268606102740068,0.0,0.0,0.0,0.0,0.3133947819325201
4.3,privado,0.538547766362518,0.0,0.538547766362518,0.0,0.0,0.0,0.0,0.319209025569562
4.4,privado,0.5599196533161525,0.0,0.5599196533161525,0.0,0.0,0.0,0.0,0.3251188915269302
4.5,privado,0.5706842515570512,0.0,0.5706842515570512,0.0,0.0,0.0,0.0,0.3310397575773637
4.6000000000000005,privado,0.5799893905374227,0.0,0.5799893905374227,0.0,0.0,0.0,0.0,0.3369974611738145
4.7,privado,0.5843857121040734,0.0,0.5843857121040734,0.0,0.0,0.0,0.0,0.34296527247035113
4.800000000000001,privado,0.5832837609596319,0.0,0.5832837609596319,0.0,0.0,0.0,0.0,0.34889485180513946
4.9,privado,0.5795320708608767,0.0,0.5795320708608767,0.0,0.0,0.0,0.0,0.3547936564098314
5.0,privado,0.5809873276705524,0.0,0.5809873276705524,0.0,0.0,0.0,0.0,0.36068613794085974
5.1000000000000005,privado,0.5872424386638108,0.0,0.5872424386638108,0.0,0.0,0.0,0.0,0.3665435396649446
5.2,privado,0.5910792925486543,0.0,0.5910792925486543,0.0,0.0,0.0,0.0,0.37237889118727563
5.300000000000001,privado,0.5833630914105735,0.0,0.5833630914105735,0.0,0.0,0.0,0.0,0.3780984790101998
5.4,privado,0.5670229426291762,0.0,0.5670229426291762,0.0,0.0,0.0,0.0,0.38372647070870136
5.5,privado,0.5597114284891647,0.0,0.5597114284891647,0.0,0.0,0.0,0.0,0.38926428194674634
5.6000000000000005,privado,0.5558101081169089,0.0,0.5558101081169089,0.0,0.0,0.0,0.0,0.39475617390078765
5.7,privado,0.5633068072927145,0.0,0.5633068072927145,0.0,0.0,0.0,0.0,0.40025010755279583
5.800000000000001,privado,0.570680921655623,0.0,0.570680921655623,0.0,0.0,0.0,0.0,0.40567804811308106
5.9,privado,0.5729366798390934,0.0,0.5729366798390934,0.0,0.0,0.0,0.0,0.41105225289290004
6.0,privado,0.571156136533606,0.0,0.571156136533606,0.0,0.0,0.0,0.0,0.41637941090194397
