p_ack,K_ck_medio_na_decisao,K_ck_dp,taxa_sucesso_coordenacao
0.0,4.5397868702434395e-05,0.0,0.0
0.001,0.07333506391140214,0.20397511635673787,0.0
0.002,0.23104512921252796,0.32354863598621775,0.0
0.004,0.5877644114165812,0.40772529168434546,0.04
0.006,0.7925927754112065,0.3237583125482675,0.24
0.008,0.9375905736633463,0.16495324285608148,0.44
0.01,0.9540208183891131,0.18407286132514072,0.44
0.015,0.9997322859612835,0.0013385701844933874,0.68
0.02,0.9999999999988028,3.8195299346371626e-12,0.84
0.03,0.9999999999993547,2.758904216193514e-12,0.88
0.05,0.9999999999999065,0.0,0.96
0.08,0.9999999999999065,0.0,1.0
0.12,0.9999999999999065,0.0,0.8
0.2,0.9999999999999065,0.0,0.8
