task,feature,threshold,sensitivity,specificity,youden_j,auc
wake_vs_deep_sleep,C_idx_mean,0.5752775897367605,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,B_mean,0.8323341181269571,0.9,0.5,0.4,0.62
wake_vs_deep_sleep,Psi_eff_mean,0.41840479215103893,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,Q_mean,0.8173688235520343,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,K_mean,0.014098240547720043,1.0,1.0,1.0,1.0
wake_vs_deep_sleep,R_mean,0.7850244305356316,1.0,0.7,0.7,0.8099999999999999
wake_vs_reflex,C_idx_mean,0.5752775897367605,1.0,1.0,1.0,1.0
wake_vs_reflex,B_mean,0.8323341181269571,0.9,0.9,0.8,0.8899999999999999
wake_vs_reflex,Psi_eff_mean,0.41840479215103893,1.0,1.0,1.0,1.0
wake_vs_reflex,Q_mean,0.8173688235520343,1.0,1.0,1.0,1.0
wake_vs_reflex,K_mean,0.021267288088899022,0.8,0.4,0.20000000000000007,0.51
wake_vs_reflex,R_mean,0.795427408884893,0.8,0.7,0.5,0.77
wake_vs_anxiety,C_idx_mean,0.5752775897367605,1.0,1.0,1.0,1.0
wake_vs_anxiety,B_mean,0.8692572915762393,0.4,0.9,0.30000000000000004,0.66
wake_vs_anxiety,Psi_eff_mean,0.41840479215103893,1.0,1.0,1.0,1.0
wake_vs_anxiety,Q_mean,0.8173688235520343,1.0,1.0,1.0,1.0
wake_vs_anxiety,K_mean,inf,0.0,1.0,0.0,0.16
wake_vs_anxiety,R_mean,0.7930968415103816,0.9,1.0,0.9,0.99
wake_vs_nonwake,C_idx_mean,0.5752775897367605,1.0,1.0,1.0,1.0
wake_vs_nonwake,B_mean,0.8323341181269571,0.9,0.5666666666666667,0.4666666666666667,0.7233333333333334
wake_vs_nonwake,Psi_eff_mean,0.41840479215103893,1.0,1.0,1.0,1.0
wake_vs_nonwake,Q_mean,0.8173688235520343,1.0,1.0,1.0,1.0
wake_vs_nonwake,K_mean,0.020076766432666295,0.9,0.43333333333333335,0.33333333333333337,0.5566666666666666
wake_vs_nonwake,R_mean,0.7850244305356316,1.0,0.7,0.7,0.8566666666666666
integrated_vs_low,C_idx_mean,0.49823848070474536,1.0,1.0,1.0,1.0
integrated_vs_low,B_mean,0.8323341181269571,0.8,0.7,0.5,0.69
integrated_vs_low,Psi_eff_mean,0.2737421605641221,1.0,1.0,1.0,1.0
integrated_vs_low,Q_mean,0.7992178274683583,1.0,1.0,1.0,1.0
integrated_vs_low,K_mean,0.021267288088899022,0.9,0.7,0.6000000000000001,0.8225
integrated_vs_low,R_mean,0.7926208223715634,0.5,0.65,0.15000000000000002,0.5625
