subject,W,REM,N1,N2,N3
0,0.3925500606061058,0.36131762677726376,0.3820818864812499,0.29788605909717686,0.2158239535717366
1,0.3867725235654096,0.34402351651184904,0.3881451251581637,0.3256931506098404,0.22549013407063498
2,0.4590769704756157,0.34958528052094795,0.39482800891218983,0.29127192016115855,0.19998328030880483
3,0.4706138804997973,0.39498518592739024,0.4065063363212926,0.3398724547249181,0.23441486312402524
4,0.41266026413330364,0.4054678812043657,0.4355961342940276,0.3819591838874786,0.2680887162703939
5,0.38524917919145535,0.37624859014152773,0.3899252096641495,0.3439969714686357,0.25375517135427944
6,0.41945304464028393,0.38331367110012543,0.4275838943946333,0.3685832893137608,0.22981645135983506
7,0.49105482487603636,0.38792878429383637,0.4090637129350393,0.3446402719513066,0.2162952597630544
8,0.45436998799858125,0.36179603735149946,0.4362671763793034,0.30785336406878505,0.22526523064116297
9,0.46724158223966555,0.3531275719818745,0.39644054317786115,0.3291265076304111,0.230894143584419
