grupo,metrica,tipo,auc,ic95_low,ic95_high,p_valor_bootstrap,n_sujeitos,p_valor_fdr_bh
todos,lzc,bruta,0.6693662313383479,0.5507444072569702,0.7893035590567795,0.004,20,0.012000000000000002
todos,lzc,residualizada_1f_in_sample,0.8316857876032839,0.7371266904839868,0.9184316078800866,0.0,20,0.0
todos,lzc,residualizada_1f_out_of_sample_5fold,0.8291214363189037,0.7297010310382425,0.9138006926162779,0.0,20,0.0
todos,pe,bruta,0.5466671369741007,0.4122004090774962,0.6781321214461008,0.511,20,0.511
todos,pe,residualizada_1f_in_sample,0.615832311884375,0.49367811595098127,0.749545205947293,0.07,20,0.10500000000000002
todos,pe,residualizada_1f_out_of_sample_5fold,0.6098835107274186,0.48168258679068027,0.7351627374083758,0.095,20,0.114
responsive,lzc,bruta,0.7913598839803659,0.6685903494633901,0.9187679454131432,0.0,13,0.0
responsive,lzc,residualizada_1f_in_sample,0.8908172372027794,0.8071698145017491,0.9601580624686377,0.0,13,0.0
responsive,lzc,residualizada_1f_out_of_sample_5fold,0.8901040670618984,0.8132620078416709,0.9560429740397358,0.0,13,0.0
responsive,pe,bruta,0.6423113087269714,0.4823010395179324,0.8047913132278036,0.093,13,0.114
responsive,pe,residualizada_1f_in_sample,0.660499139414802,0.49259705502049866,0.8192653508280008,0.057,13,0.09327272727272727
responsive,pe,residualizada_1f_out_of_sample_5fold,0.6399765729585006,0.48141650900079236,0.7979396506452534,0.091,13,0.114
drowsy,lzc,bruta,0.41090754422722475,0.3207926597321537,0.49468245116952,0.049,7,0.0882
drowsy,lzc,residualizada_1f_in_sample,0.7550055924006365,0.5550962815405047,0.9480946040899023,0.017,7,0.04371428571428572
drowsy,lzc,residualizada_1f_out_of_sample_5fold,0.7422454670048363,0.5227445925004376,0.9363146175131076,0.035,7,0.07
drowsy,pe,bruta,0.2831802643393878,0.11790442530311,0.462568771280244,0.02,7,0.045
drowsy,pe,residualizada_1f_in_sample,0.3935474723924448,0.15622556591719589,0.6059199301670437,0.345,7,0.38812499999999994
drowsy,pe,residualizada_1f_out_of_sample_5fold,0.40153436569574186,0.17674804237980582,0.6154729181470705,0.413,7,0.4372941176470588
