bloco,comparacao,metrica,tipo,estatistica,ic95_low,ic95_high,effect_size,effect_size_tipo,p_valor,n_sujeitos,p_valor_fdr_bh
F/K,sono: W vs N3,lzc,AUC,0.9918839728598903,0.9866955789197676,0.9956833001270979,0.9837679457197805,rank-biserial (2*AUC-1),0.0,36,0.0
F/K,sono: W vs N3,lzc,Cohen's d pareado,4.3644133140430545,,,4.3644133140430545,Cohen's d pareado,,36,
F/K,sono: W vs N3,pe,AUC,0.9839766519847156,0.9707271421596856,0.9931978222907111,0.9679533039694312,rank-biserial (2*AUC-1),0.0,36,0.0
F/K,sono: W vs N3,pe,Cohen's d pareado,3.344399585110788,,,3.344399585110788,Cohen's d pareado,,36,
K,propofol (dose nominal): basal vs moderada,lzc,AUC,0.33062935952945743,0.21862613413826543,0.44678459932633335,-0.33874128094108513,rank-biserial (2*AUC-1),0.005,20,0.01
K,propofol (dose nominal): basal vs moderada,pe,AUC,0.45333286302589926,0.31519377405384175,0.584346081977685,-0.09333427394820148,rank-biserial (2*AUC-1),0.475,20,0.5277777777777778
O,"propofol (responsividade): basal vs moderada, grupo responsive",lzc,AUC,0.7913598839803659,0.6732326772519058,0.9163405668230706,0.5827197679607319,rank-biserial (2*AUC-1),0.0,13,0.0
O,"propofol (responsividade): basal vs moderada, grupo responsive",pe,AUC,0.6423113087269714,0.4780811826376593,0.8161850265219074,0.2846226174539428,rank-biserial (2*AUC-1),0.082,13,0.12615384615384617
O,"propofol (responsividade): basal vs moderada, grupo drowsy",lzc,AUC,0.41091542084783944,0.32049929676511957,0.504707358733344,-0.17816915830432112,rank-biserial (2*AUC-1),0.057,7,0.09500000000000001
O,"propofol (responsividade): basal vs moderada, grupo drowsy",pe,AUC,0.2831802643393878,0.12314033802993536,0.4688557489560302,-0.4336394713212244,rank-biserial (2*AUC-1),0.022,7,0.039999999999999994
O,propofol: complexidade basal x mudança sob sedação moderada,lzc,Spearman rho,-0.3398496240601503,-0.7774793843817506,0.20487143243187053,-0.3398496240601503,rho (Spearman),0.14263670537136697,20,0.1901822738284893
O,propofol: complexidade basal x mudança sob sedação moderada,pe,Spearman rho,-0.7488721804511278,-0.9166920731707319,-0.41793313069908816,-0.7488721804511278,rho (Spearman),0.0001452201092012391,20,0.0003227113537805314
N,"sono (Frente C): W vs N3, bruta",lzc,AUC,0.9918839728598903,0.98630046623814,0.9956508874603627,0.9837679457197805,rank-biserial (2*AUC-1),0.0,36,0.0
N,"sono (Frente C): W vs N3, residualizada por 1/f",lzc,AUC,0.5500844813165429,0.45804656250496184,0.6327061858061316,0.10016896263308572,rank-biserial (2*AUC-1),0.287,36,0.35874999999999996
N,"sono (Frente C): W vs N3, bruta",pe,AUC,0.9839766519847156,0.9690727929399545,0.9932799643370877,0.9679533039694312,rank-biserial (2*AUC-1),0.0,36,0.0
N,"sono (Frente C): W vs N3, residualizada por 1/f",pe,AUC,0.580193089833474,0.47420384853409375,0.6772604158759847,0.1603861796669479,rank-biserial (2*AUC-1),0.128,36,0.18285714285714286
N,"sono (Frente C): W vs N3, bruta",sync_bruta,AUC,0.1481720807278203,0.09070752803249896,0.21797023284313383,-0.7036558385443594,rank-biserial (2*AUC-1),0.0,36,0.0
N,"sono (Frente C): W vs N3, residualizada por 1/f",sync_bruta,AUC,0.45604595837792716,0.3676556282062857,0.5450281695458017,-0.08790808324414567,rank-biserial (2*AUC-1),0.318,36,0.37411764705882355
N,"sono (Frente C): W vs N3, bruta",integracao_mi,AUC,0.1982676505345781,0.13238503542919655,0.26720942552614735,-0.6034646989308439,rank-biserial (2*AUC-1),0.0,36,0.0
N,"sono (Frente C): W vs N3, residualizada por 1/f",integracao_mi,AUC,0.5307711528610167,0.426550915718662,0.6316500149736035,0.06154230572203345,rank-biserial (2*AUC-1),0.559,36,0.5884210526315791
N,"sono (Frente C): W vs N3, bruta",indice_integ_diferenciada,AUC,0.21796013199648462,0.1464407230274094,0.2928369357840791,-0.5640797360070308,rank-biserial (2*AUC-1),0.0,36,0.0
N,"sono (Frente C): W vs N3, residualizada por 1/f",indice_integ_diferenciada,AUC,0.5269408836189311,0.4225044888048553,0.6271818785801094,0.0538817672378622,rank-biserial (2*AUC-1),0.628,36,0.628
