metrica,comparacao,auc,ic95_low,ic95_high,p_valor_bootstrap,n_sujeitos,p_valor_fdr_bh
emg_rms,REM vs W,0.667504117045072,0.5826826627700865,0.746431960328489,0.0,36,0.0
emg_rms,REM vs N1,0.5220323923639317,0.447581383843012,0.5942772247277813,0.593,36,0.593
emg_rms,REM vs N2,0.5264493470317149,0.48215010038649264,0.5749456216309741,0.243,36,0.2650909090909091
emg_rms,REM vs N3,0.5393512507945546,0.48216936316999204,0.5970773852429903,0.188,36,0.22560000000000002
eeg_emg_coherence,REM vs W,0.5389784047341397,0.5286588344431952,0.548817219534671,0.0,36,0.0
eeg_emg_coherence,REM vs N1,0.5358971563848935,0.5161125294360583,0.5557657473688358,0.0,36,0.0
eeg_emg_coherence,REM vs N2,0.5101291599883214,0.5006327951572285,0.5195059697177961,0.033,36,0.0495
eeg_emg_coherence,REM vs N3,0.5192278933852974,0.5064326225553145,0.5314945276381459,0.0,36,0.0
indice_desacoplamento,REM vs W,0.2851911648108062,0.23106633798868462,0.3398666559339568,0.0,36,0.0
indice_desacoplamento,REM vs N1,0.44451172528312705,0.3899956175737772,0.49733011605269156,0.038,36,0.050666666666666665
indice_desacoplamento,REM vs N2,0.6534279793621454,0.6185903209822718,0.688127122617369,0.0,36,0.0
indice_desacoplamento,REM vs N3,0.8605726887563064,0.832290779388294,0.8849109973552156,0.0,36,0.0
