param,multiplier,task,auc,value
w_mb,0.0,wake_vs_deep_sleep,1.0,0.0
w_mb,0.0,wake_vs_reflex,1.0,0.0
w_mb,0.0,wake_vs_anxiety,1.0,0.0
w_mb,0.0,wake_vs_nonwake,1.0,0.0
w_mb,0.0,integrated_vs_low,1.0,0.0
w_mb,0.25,wake_vs_deep_sleep,1.0,0.0875
w_mb,0.25,wake_vs_reflex,1.0,0.0875
w_mb,0.25,wake_vs_anxiety,1.0,0.0875
w_mb,0.25,wake_vs_nonwake,1.0,0.0875
w_mb,0.25,integrated_vs_low,1.0,0.0875
w_mb,0.5,wake_vs_deep_sleep,1.0,0.175
w_mb,0.5,wake_vs_reflex,1.0,0.175
w_mb,0.5,wake_vs_anxiety,1.0,0.175
w_mb,0.5,wake_vs_nonwake,1.0,0.175
w_mb,0.5,integrated_vs_low,1.0,0.175
w_mb,0.75,wake_vs_deep_sleep,1.0,0.26249999999999996
w_mb,0.75,wake_vs_reflex,1.0,0.26249999999999996
w_mb,0.75,wake_vs_anxiety,1.0,0.26249999999999996
w_mb,0.75,wake_vs_nonwake,1.0,0.26249999999999996
w_mb,0.75,integrated_vs_low,1.0,0.26249999999999996
w_mb,1.0,wake_vs_deep_sleep,1.0,0.35
w_mb,1.0,wake_vs_reflex,1.0,0.35
w_mb,1.0,wake_vs_anxiety,1.0,0.35
w_mb,1.0,wake_vs_nonwake,1.0,0.35
w_mb,1.0,integrated_vs_low,1.0,0.35
w_mb,1.25,wake_vs_deep_sleep,1.0,0.4375
w_mb,1.25,wake_vs_reflex,1.0,0.4375
w_mb,1.25,wake_vs_anxiety,1.0,0.4375
w_mb,1.25,wake_vs_nonwake,1.0,0.4375
w_mb,1.25,integrated_vs_low,1.0,0.4375
w_mb,1.5,wake_vs_deep_sleep,1.0,0.5249999999999999
w_mb,1.5,wake_vs_reflex,1.0,0.5249999999999999
w_mb,1.5,wake_vs_anxiety,1.0,0.5249999999999999
w_mb,1.5,wake_vs_nonwake,1.0,0.5249999999999999
w_mb,1.5,integrated_vs_low,1.0,0.5249999999999999
