desenho,n_sujeitos,epocas_neg,epocas_pos,razao_epocas,auc_agrupada_sob_nulo,erro_tipo1_antigo,antigo_ic_low,antigo_ic_high,veredito_teste_antigo,erro_tipo1_novo,novo_ic_low,novo_ic_high,resultado_auc_agrupada,resultado_p_antigo,resultado_auc_por_sujeito,resultado_p_novo
REM vs W — emg_rms,36,8923,6155,1.449715678310317,0.538660727536875,0.46,0.39232931140961247,0.5291783690638533,INVALIDO,0.06,0.0346518499012715,0.10193263530685089,0.6691069407149167,0.0,0.6618160132541017,4.721074947156012e-05
REM vs N1 — emg_rms,36,3264,6155,1.8857230392156863,0.5108933671711983,0.0,0.0,0.018846005918320894,VALIDO,0.045,0.023852271724704166,0.08329759366096785,0.5202828528517764,0.582,0.5280564631216181,0.5290791585575789
REM vs N2 — emg_rms,36,16772,6155,2.724939073923639,0.5121070506858071,0.1,0.06566994117157123,0.14940686356308552,SUSPEITO,0.04,0.02040538715065641,0.07693293829419882,0.5252413039225946,0.274,0.505254199246245,0.9938101398292929
REM vs N3 — emg_rms,36,3972,6155,1.549597180261833,0.5064158154604571,0.0,0.0,0.018846005918320894,VALIDO,0.03,0.013820125830748327,0.06389511973247333,0.5371844493311451,0.164,0.503258538013089,0.5812918253068347
REM vs W — eeg_emg_coherence,36,8923,6155,1.449715678310317,0.5017610539781048,0.07,0.04215178292291873,0.11405578216683726,VALIDO,0.085,0.05374529946985246,0.13189688544235392,0.5393130535349223,0.0,0.5452805221202425,1.4487886801362038e-07
REM vs N1 — eeg_emg_coherence,36,3264,6155,1.8857230392156863,0.5057482307047515,0.02,0.007804300176394188,0.050287865505193874,VALIDO,0.03,0.013820125830748327,0.06389511973247333,0.5355014708918402,0.0,0.538287053748045,6.088233203627169e-05
REM vs N2 — eeg_emg_coherence,36,16772,6155,2.724939073923639,0.499340767357611,0.055,0.030985020801370097,0.0957879244659355,VALIDO,0.02,0.007804300176394188,0.050287865505193874,0.5103451182424054,0.028,0.5179007309207575,0.004597575025400147
REM vs N3 — eeg_emg_coherence,36,3972,6155,1.549597180261833,0.5037385866377396,0.055,0.030985020801370097,0.0957879244659355,VALIDO,0.025,0.010724561470787711,0.05717914415161715,0.5193064248969754,0.0,0.5119176807210336,0.03209542465629056
REM vs W — indice_desacoplamento,36,8923,6155,1.449715678310317,0.49463701464092147,0.0,0.0,0.018846005918320894,VALIDO,0.055,0.030985020801370097,0.0957879244659355,0.28386735025835585,0.0,0.2601979659417508,9.604264050722122e-10
REM vs N1 — indice_desacoplamento,36,3264,6155,1.8857230392156863,0.5077813517923416,0.005,0.0008831459893662054,0.02777439986977148,VALIDO,0.075,0.045974507057252416,0.12004459797332034,0.44387819187375327,0.026,0.4124287334756438,0.004354625125415623
REM vs N2 — indice_desacoplamento,36,16772,6155,2.724939073923639,0.5085322613963584,0.18,0.13294550662534108,0.2391159371623843,INVALIDO,0.055,0.030985020801370097,0.0957879244659355,0.6534449466309157,0.0,0.6600259273446598,3.66999302059412e-08
REM vs N3 — indice_desacoplamento,36,3972,6155,1.549597180261833,0.5452053554409706,1.0,0.9811539940816791,1.0,INVALIDO,0.05,0.027382349028644986,0.08957905629784384,0.860728737451466,0.0,0.8858941420929324,2.9103830456733704e-11
SONO W vs N3 — LZc resid. 1/f,36,3972,8923,2.246475327291037,0.5510167557244542,0.105,0.0697069624619373,0.15518138221353622,SUSPEITO,0.065,0.03837598764975976,0.10802003749917945,0.5501012000045884,0.296,0.4951206287587706,0.9814318742428441
SONO W vs N3 — LZc multivar. resid. 1/f,36,3972,8923,2.246475327291037,0.5473452781766436,0.06,0.0346518499012715,0.10193263530685089,VALIDO,0.06,0.0346518499012715,0.10193263530685089,0.5438187809369753,0.332,0.4940899869636097,0.9196639081637841
ANESTESIA basal vs moderada — LZc resid. 1/f,20,755,751,1.0053262316910785,0.4989463849525137,0.03,0.013820125830748327,0.06389511973247333,VALIDO,0.03,0.013820125830748327,0.06389511973247333,0.8346198092490323,0.0,0.8910299028205333,0.00016072266294322112
